"","resource","res.class","res.order","res.family","res.genus","res.species","consumer","con.class","con.order","con.family","con.genus","con.species","res.method","con.method","N.records","link.evidence","source.id"
"149","FPOM",NA,NA,NA,NA,NA,"Radix peregra","Gastropoda",NA,"Lymnaeidae","Radix","peregra","exact","genus",8,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"150","FPOM",NA,NA,NA,NA,NA,"Ceratopogonidae","Insecta","Diptera","Ceratopogonidae","","","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"151","FPOM",NA,NA,NA,NA,NA,"Plectronemia geniculata","Insecta","Trichoptera","Polycentropodidae","Plectronemia","geniculata","exact","family",4,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"152","FPOM",NA,NA,NA,NA,NA,"Silo pallipes","Insecta","Trichoptera","Goeridae","Silo","pallipes","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"155","FPOM",NA,NA,NA,NA,NA,"Leuctra hippopus","Insecta","Plecoptera","Leuctridae","Leuctra","hippopus","exact","genus",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"156","FPOM",NA,NA,NA,NA,NA,"Oulimnius tuberculatus","Insecta","Coleoptera","Elmidae","Oulimnius","tuberculatus","exact","exact",7,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"157","FPOM",NA,NA,NA,NA,NA,"Lecutra inermis","Insecta","Plecoptera","Leuctridae","Leuctra","inermis","exact","genus",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"160","FPOM",NA,NA,NA,NA,NA,"Hydropsyche siltalai","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","siltalai","exact","genus",7,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"162","FPOM",NA,NA,NA,NA,NA,"Polycentropus flavomaculatus","Insecta","Trichoptera","Polycentropodidae","Polycentropus","flavomaculatus","exact","exact",4,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"163","FPOM",NA,NA,NA,NA,NA,"Leuctra geniculata","Insecta","Plecoptera","Leuctridae","Leuctra","geniculata","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"164","FPOM",NA,NA,NA,NA,NA,"Rhyacophila dorsalis","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","dorsalis","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"165","FPOM",NA,NA,NA,NA,NA,"Eiseniella tetraedra","Oligochaeta","Haplotaxida","Lumbricidae","Eiseniella","tetraedra","exact","exact",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"166","FPOM",NA,NA,NA,NA,NA,"Gammarus pulex","Crustacea","Amphipoda","Gammaridae","Gammarus","pulex","exact","exact",8,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"167","FPOM",NA,NA,NA,NA,NA,"Leuctra moselyi","Insecta","Plecoptera","Leuctridae","Leuctra","moselyi","exact","genus",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"168","FPOM",NA,NA,NA,NA,NA,"Mystacides","Insecta","Trichoptera","Leptoceridae","Mystacides","","exact","genus",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"169","FPOM",NA,NA,NA,NA,NA,"Tubificidae","Oligochaeta","Haplotaxida","Tubificidae","","","exact","exact",8,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"170","FPOM",NA,NA,NA,NA,NA,"Naididae","Oligochaeta","Haplotaxida","Naididae","","","exact","exact",8,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"171","FPOM",NA,NA,NA,NA,NA,"Sericostoma personatum","Insecta","Trichoptera","Sericostomatidae","Sericostoma","personatum","exact","exact",4,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"172","FPOM",NA,NA,NA,NA,NA,"Agapetus fuscipes","Insecta","Trichoptera","Glossosomatidae","Agapetus","fuscipes","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"173","FPOM",NA,NA,NA,NA,NA,"Ancylus fluviatalis","Gastropoda",NA,"Planorbidae","Ancylus","fluviatalis","exact","genus",4,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"174","FPOM",NA,NA,NA,NA,NA,"Limnius volckmari","Insecta","Coleoptera","Elmidae","Limnius","volckmari","exact","exact",9,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"176","FPOM",NA,NA,NA,NA,NA,"Elmis aenea","Insecta","Coleoptera","Elmidae","Elmis","aenea","exact","exact",5,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"179","FPOM",NA,NA,NA,NA,NA,"Orthocladiinae","Insecta","Diptera","Chironomidae","","","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"180","FPOM",NA,NA,NA,NA,NA,"Baetis rhodani","Insecta","Ephemeroptera","Baetidae","Baetis","rhodani","exact","genus",7,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"182","Polycentropus kingi","Insecta","Trichoptera","Polycentropodidae","Polycentropus","kingi","Erpobdella testacea","Clitellata","Hirudinida","Erpobdellidae","Erpobdella","testacea","genus","genus",4,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"183","Polycentropus kingi","Insecta","Trichoptera","Polycentropodidae","Polycentropus","kingi","Cottus gobio","Actinoptergii","Scorpaeniformes","Cottidae","Cottus","gobio","genus","exact",6,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"184","Polycentropus kingi","Insecta","Trichoptera","Polycentropodidae","Polycentropus","kingi","Polycentropus kingi","Insecta","Trichoptera","Polycentropodidae","Polycentropus","kingi","genus","genus",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
